Features,Intercept,Sex_M,Mean_centered_age,DLICV,Scaler_Mean,Scaler_Var
H_MUSE_Volume_76,103.5994285,-30.516915,-4.616188636,0.000284581,4.079807111,14876.22687
H_MUSE_Volume_81,-11246.34033,-2425.602568,-156.3379297,0.077161639,430.4263978,32689353.48
H_MUSE_Volume_82,-11292.22688,-2437.110714,-147.4914617,0.07509486,412.2744235,31343031.31
H_MUSE_Volume_83,-1986.059734,-128.2088249,-15.94470777,0.018598011,95.13234235,4491946.321
H_MUSE_Volume_84,-2551.466227,-203.5700486,-9.582507753,0.018604959,84.13383465,4198005.632
H_MUSE_Volume_85,-3713.441973,-733.3700128,-43.7844494,0.035626353,155.4202624,8779441.077
H_MUSE_Volume_86,-3336.860597,-919.4684135,-60.30324741,0.037294616,189.2561724,9867478.772
H_MUSE_Volume_87,-2860.209733,-340.0481123,-38.39374268,0.041348033,204.4920108,10028802.64
H_MUSE_Volume_88,-3298.681555,-260.5815793,-42.3432947,0.040948606,229.2572606,9858485.926
H_MUSE_Volume_89,121.1579723,-1.32112825,-0.667488813,0.000259285,0.189702053,3659.219886
H_MUSE_Volume_90,203.6498246,3.359338621,-1.450684265,0.000256941,0.303658407,3925.72586
H_MUSE_Volume_91,220.5880573,-45.76880085,-15.13863441,0.002150653,12.88269849,80939.01872
H_MUSE_Volume_92,147.3951028,-40.20063248,-12.67737329,0.001929873,11.69563328,67268.86721
H_MUSE_Volume_93,120.3657901,-64.15331624,-5.13470582,0.001522212,2.281950633,44216.53559
H_MUSE_Volume_94,185.6813879,-52.03511844,-5.68233633,0.001438522,3.836471457,39770.23033
H_MUSE_Volume_95,142.5791298,-171.1958028,-26.50098366,0.008341337,47.11933485,1821271.18
WMLS_Volume_81,-734.5239835,-181.4675875,45.08118595,0.001043923,-72.99125066,762325.2836
WMLS_Volume_82,-710.9645723,-189.4783831,43.41379517,0.001011547,-64.67344181,856544.9252
WMLS_Volume_83,-89.52541071,14.52342443,4.876266989,0.000131014,-11.24050125,17785.99853
WMLS_Volume_84,-55.06676806,18.89614808,5.243473796,0.00010102,-15.14566527,18432.80735
WMLS_Volume_85,-291.5220351,-36.00429162,19.76515956,0.000384619,-33.26966142,312837.3084
WMLS_Volume_86,-351.1538295,-55.37276379,20.53478697,0.000450411,-32.88525055,338211.2363
WMLS_Volume_87,-306.1852067,-34.73592417,21.6598333,0.000400531,-41.25593353,274566.864
WMLS_Volume_88,-460.5162485,-67.03041484,25.96391949,0.000566253,-42.63171872,439157.4324
WMLS_Volume_89,3.010106624,-0.034186702,-0.03190872,-1.68E-06,-0.006058662,13.27784769
WMLS_Volume_90,5.26252211,-0.375471707,-0.039597187,-2.65E-06,0.050943593,31.59393898
WMLS_Volume_91,-2.658700794,-0.099530914,0.031099764,3.26E-06,0.002318614,47.91262008
WMLS_Volume_92,-1.271272531,0.121858634,0.006420758,1.82E-06,0.055565201,35.89031275
WMLS_Volume_93,0.805554582,-1.261208391,0.496446,4.31E-06,-0.792173977,689.0930023
WMLS_Volume_94,3.448547178,-1.563803614,0.35893022,1.09E-06,-0.663576283,440.4599375
WMLS_Volume_95,-14.8408882,-16.48516391,0.304347429,4.41E-05,1.063691495,5522.359343
